"Nigel Terry","Terry Gilliam"
"Heather Graham","Graham Chapman"
"Gerrit Graham","Graham Chapman"
"Paul Terry","Terry Gilliam"
"Stephen Graham","Graham Chapman"
"Lauren Graham","Graham Chapman"
"Stuart Graham","Graham Chapman"
"Kat Graham","Graham Chapman"
"Woody Allen","Allen Danziger"
"Penelope Allen","Allen Danziger"
"Karen Allen","Allen Danziger"
"Nancy Allen","Allen Danziger"
"Alexandra Paul","Paul A. Partain"
"Joan Allen","Allen Danziger"
"Tim Allen","Allen Danziger"
"Ray Allen","Allen Danziger"
"Tessa Allen","Allen Danziger"
"Aaron Paul","Paul A. Partain"
"Krista Allen","Allen Danziger"
"Alfie Allen","Allen Danziger"
"Morgan Allen","Allen Danziger"
"Chas Allen","Allen Danziger"
"Ryder Allen","Allen Danziger"
"Amala Paul","Paul A. Partain"
"Kiera Allen","Allen Danziger"
"George Hardy","Hardy Krüger"
"Tom Hardy","Hardy Krüger"
"Ben Hardy","Hardy Krüger"
"Sana Saeed","Saeed Jaffrey"
"Eleanor David","David Hemmings"
"Keith David","David Hemmings"
"Larry David","David Hemmings"
"Connor Paolo","Paolo Bonacelli"
"Piper Laurie","Laurie Zimmer"
"Strother Martin","Martin West"
"Steve Martin","Martin West"
"Kellie Martin","Martin West"
"Hugh Laurie","Laurie Zimmer"
"Steve Austin","Austin Stoker"
"Stacy Martin","Martin West"
"Stuart Martin","Martin West"
"Roddy Piper","Piper Laurie"
"Woody Allen","Allen Joseph"
"Penelope Allen","Allen Joseph"
"Karen Allen","Allen Joseph"
"Nancy Allen","Allen Joseph"
"Joan Allen","Allen Joseph"
"Tim Allen","Allen Joseph"
"Ray Allen","Allen Joseph"
"Tessa Allen","Allen Joseph"
"Krista Allen","Allen Joseph"
"Alfie Allen","Allen Joseph"
"Morgan Allen","Allen Joseph"
"Chas Allen","Allen Joseph"
"Ryder Allen","Allen Joseph"
"Kiera Allen","Allen Joseph"
"Ayleen Charlotte","Charlotte Stewart"
"Josh Charles","Charles Grodin"
"Max Charles","Charles Grodin"
"Katharine Isabelle","Isabelle Adjani"
"Lysette Anthony","Anthony Quinn"
"Bruce Lee","Lee Remick"
"Mary Gregory","Gregory Peck"
"Christopher Lee","Lee Remick"
"Mark Lee","Lee Remick"
"Eleanor David","David Warner"
"Keith David","David Warner"
"Don Harvey","Harvey Stephens"
"Danny Lee","Lee Remick"
"Spike Lee","Lee Remick"
"Sheryl Lee","Lee Remick"
"Brandon Lee","Lee Remick"
"Sophie Lee","Lee Remick"
"Jason Lee","Lee Remick"
"Wendee Lee","Lee Remick"
"Leo Lee","Lee Remick"
"Sook-Yin Lee","Lee Remick"
"Eun-ju Lee","Lee Remick"
"Ryan Lee","Lee Remick"
"Larry David","David Warner"
"Gwilym Lee","Lee Remick"
"Samara Lee","Lee Remick"
"Kyung-jin Lee","Lee Remick"
"Na-ra Lee","Lee Remick"
"Joseph Lee","Lee Remick"
"Hyun-Wook Lee","Lee Remick"
"Greta Lee","Lee Remick"
"Ron Howard","Howard Morris"
"Alan Howard","Howard Morris"
"Terrence Howard","Howard Morris"
"Clint Howard","Howard Morris"
"Traylor Howard","Howard Morris"
"Andrew Howard","Howard Morris"
"Cedric Joe","Joe Flynn"
"Allen Joseph","Joseph Cali"
"James Karen","Karen Lynn Gorney"
"Linda Harrison","Harrison Ford"
"Bret Harrison","Harrison Ford"
"Blake Harrison","Harrison Ford"
"Bruce Lee","Lee Grant"
"Christopher Lee","Lee Grant"
"Mark Lee","Lee Grant"
"Danny Lee","Lee Grant"
"Spike Lee","Lee Grant"
"Sheryl Lee","Lee Grant"
"Brandon Lee","Lee Grant"
"Sophie Lee","Lee Grant"
"Jason Lee","Lee Grant"
"Wendee Lee","Lee Grant"
"Leo Lee","Lee Grant"
"Sook-Yin Lee","Lee Grant"
"Eun-ju Lee","Lee Grant"
"Ryan Lee","Lee Grant"
"Gwilym Lee","Lee Grant"
"Samara Lee","Lee Grant"
"Kyung-jin Lee","Lee Grant"
"Na-ra Lee","Lee Grant"
"Joseph Lee","Lee Grant"
"Hyun-Wook Lee","Lee Grant"
"Greta Lee","Lee Grant"
"Eleanor David","David Emge"
"Keith David","David Emge"
"Alex Scott","Scott H. Reiniger"
"Dougray Scott","Scott H. Reiniger"
"Adam Scott","Scott H. Reiniger"
"Ashley Scott","Scott H. Reiniger"
"Judith Scott","Scott H. Reiniger"
"Campbell Scott","Scott H. Reiniger"
"Larry David","David Emge"
"Brandon Scott","Scott H. Reiniger"
"Andrew Scott","Scott H. Reiniger"
"Stefanie Scott","Scott H. Reiniger"
"Naomi Scott","Scott H. Reiniger"
"Shaun Scott","Scott H. Reiniger"
"Thomas Jane","Jane Birkin"
"Don Murray","Murray Hamilton"
"Allen Joseph","Joseph Mascolo"
"Bill Murray","Murray Hamilton"
"Joel Murray","Murray Hamilton"
"James Karen","Karen Allen"
"Nicholle Tom","Tom Hulce"
Tom,"Tom Hulce"
"Bruce Lee","Lee Strasberg"
"Christopher Lee","Lee Strasberg"
"Mark Lee","Lee Strasberg"
"Danny Lee","Lee Strasberg"
"Spike Lee","Lee Strasberg"
"Sheryl Lee","Lee Strasberg"
"Brandon Lee","Lee Strasberg"
"Sophie Lee","Lee Strasberg"
"Jason Lee","Lee Strasberg"
"Wendee Lee","Lee Strasberg"
"Leo Lee","Lee Strasberg"
"Sook-Yin Lee","Lee Strasberg"
"Eun-ju Lee","Lee Strasberg"
"Ryan Lee","Lee Strasberg"
"Gwilym Lee","Lee Strasberg"
"Samara Lee","Lee Strasberg"
"Kyung-jin Lee","Lee Strasberg"
"Na-ra Lee","Lee Strasberg"
"Joseph Lee","Lee Strasberg"
"Hyun-Wook Lee","Lee Strasberg"
"Greta Lee","Lee Strasberg"
"Matthew Perry","Perry Pirkanen"
"Katy Perry","Perry Pirkanen"
"Tyler Perry","Perry Pirkanen"
"Jane Perry","Perry Pirkanen"
"Sophie Perry","Perry Pirkanen"
"Rachel Roberts","Roberts Blossom"
"Tony Roberts","Roberts Blossom"
"Tanya Roberts","Roberts Blossom"
"Julia Roberts","Roberts Blossom"
"Robert Patrick","Patrick McGoohan"
"Leonard Roberts","Roberts Blossom"
"Emma Roberts","Roberts Blossom"
"Shawn Roberts","Roberts Blossom"
"Craig Roberts","Roberts Blossom"
"Dallas Roberts","Roberts Blossom"
"Judith Roberts","Roberts Blossom"
"Don Catlin","Catlin Adams"
"Thomas Jane","Jane Alexander"
"Jarrett Bruno","Bruno Ganz"
"Clifton James","James Doohan"
"Brion James","James Doohan"
"Joshua Leonard","Leonard Nimoy"
"Colton James","James Doohan"
"Lennie James","James Doohan"
"Jesse James","James Doohan"
"Kevin James","James Doohan"
"Andrea James","James Doohan"
"David James","James Doohan"
"Lily James","James Doohan"
"Theo James","James Doohan"
"Stephan James","James Doohan"
"Geraldine James","James Doohan"
"LeBron James","James Doohan"
"Gay DeForest","DeForest Kelley"
"Clifton James","James Remar"
"Brion James","James Remar"
"Colton James","James Remar"
"Lennie James","James Remar"
"Jesse James","James Remar"
"Kevin James","James Remar"
"Andrea James","James Remar"
"David James","James Remar"
"Lily James","James Remar"
"Theo James","James Remar"
"Stephan James","James Remar"
"Geraldine James","James Remar"
"LeBron James","James Remar"
"Charlbi Dean","Dean Shek"
"Thomas Jane","Jane Fonda"
"Morgan Lily","Lily Tomlin"
"Ewen Leslie","Leslie Nielsen"
"Rose Leslie","Leslie Nielsen"
"Linda Blair","Blair Brown"
"Josh Charles","Charles Haid"
"Pamela Blair","Blair Brown"
"Selma Blair","Blair Brown"
"Max Charles","Charles Haid"
"Macon Blair","Blair Brown"
"Melissa Leo","Leo McKern"
"Edoardo Leo","Leo McKern"
"David Keith","Keith Gordon"
"Lysette Anthony","Anthony Hopkins"
"Ashley Judd","Judd Hirsch"
"Cedric Joe","Joe Pesci"
"Joey Lawrence","Lawrence Dane"
"Elizabeth Lawrence","Lawrence Dane"
"Martin Lawrence","Lawrence Dane"
"Matthew Lawrence","Lawrence Dane"
"Carolyn Lawrence","Lawrence Dane"
"Jennifer Lawrence","Lawrence Dane"
"Rachel Shelley","Shelley Duvall"
"Eleanor David","David Naughton"
"Keith David","David Naughton"
"Bob Griffin","Griffin Dunne"
"Eddie Griffin","Griffin Dunne"
"Larry David","David Naughton"
"Cedric Joe","Joe Belcher"
"Tim Griffin","Griffin Dunne"
"Moritz Klaus","Klaus Wennemann"
"Debbie Harry","Harry Hamlin"
"Clifton James","James Earl Jones"
"Brion James","James Earl Jones"
"Tracy Arnold","Arnold Schwarzenegger"
"Tom Arnold","Arnold Schwarzenegger"
"Colton James","James Earl Jones"
"Lennie James","James Earl Jones"
"Jesse James","James Earl Jones"
"Kevin James","James Earl Jones"
"Andrea James","James Earl Jones"
"David James","James Earl Jones"
"Lily James","James Earl Jones"
"Theo James","James Earl Jones"
"Stephan James","James Earl Jones"
"Geraldine James","James Earl Jones"
"LeBron James","James Earl Jones"
"Dylan Arnold","Arnold Schwarzenegger"
"Bruce Lee","Lee Van Cleef"
"Christopher Lee","Lee Van Cleef"
"Mark Lee","Lee Van Cleef"
"Danny Lee","Lee Van Cleef"
"Spike Lee","Lee Van Cleef"
"Sheryl Lee","Lee Van Cleef"
"Brandon Lee","Lee Van Cleef"
"Sophie Lee","Lee Van Cleef"
"Jason Lee","Lee Van Cleef"
"Wendee Lee","Lee Van Cleef"
"Leo Lee","Lee Van Cleef"
"Sook-Yin Lee","Lee Van Cleef"
"Eun-ju Lee","Lee Van Cleef"
"Ryan Lee","Lee Van Cleef"
"Gwilym Lee","Lee Van Cleef"
"Samara Lee","Lee Van Cleef"
"Kyung-jin Lee","Lee Van Cleef"
"Na-ra Lee","Lee Van Cleef"
"Joseph Lee","Lee Van Cleef"
"Hyun-Wook Lee","Lee Van Cleef"
"Greta Lee","Lee Van Cleef"
"Josh Charles","Charles Cyphers"
"Max Charles","Charles Cyphers"
"Cedric Joe","Joe Flaherty"
"Mary Gregory","Gregory Hines"
"Ruby Dee","Dee Wallace"
"Robert Patrick","Patrick Macnee"
"Alexandra Paul","Paul Freeman"
"Aaron Paul","Paul Freeman"
"Amala Paul","Paul Freeman"
"Danny Lloyd","Lloyd Bridges"
"Christopher Lloyd","Lloyd Bridges"
"Eric Lloyd","Lloyd Bridges"
"Jake Lloyd","Lloyd Bridges"
"Mike Henry","Henry Thomas"
"Justin Henry","Henry Thomas"
"Gregg Henry","Henry Thomas"
"Dwight Henry","Henry Thomas"
"Mike Judge","Judge Reinhold"
"Nigel Terry","Terry Ballard"
"Paul Terry","Terry Ballard"
"Hrithik Roshan","Roshan Seth"
"Roberta Maxwell","Maxwell Caulfield"
"Eleanor David","David Keith"
"Keith David","David Keith"
"Larry David","David Keith"
"Clifton James","James Laurenson"
"Brion James","James Laurenson"
"Colton James","James Laurenson"
"Lennie James","James Laurenson"
"Jesse James","James Laurenson"
"Kevin James","James Laurenson"
"Andrea James","James Laurenson"
"David James","James Laurenson"
"Lily James","James Laurenson"
"Theo James","James Laurenson"
"Stephan James","James Laurenson"
"Geraldine James","James Laurenson"
"LeBron James","James Laurenson"
"Daniel Craig","Craig T. Nelson"
"Bo Derek","Derek Jacobi"
"Shannon Elizabeth","Elizabeth Hartman"
"Madeleine Arthur","Arthur Malet"
"David Keith","Keith David"
"Clifton James","James Mason"
"Brion James","James Mason"
"Colton James","James Mason"
"Lennie James","James Mason"
"Jesse James","James Mason"
"Kevin James","James Mason"
"Andrea James","James Mason"
"David James","James Mason"
"Lily James","James Mason"
"Theo James","James Mason"
"Stephan James","James Mason"
"Geraldine James","James Mason"
"LeBron James","James Mason"
"Ayleen Charlotte","Charlotte Rampling"
"Scott Glenn","Glenn Close"
"Nicholle Tom","Tom Berenger"
Tom,"Tom Berenger"
"Alex Scott","Scott Schwartz"
"Dougray Scott","Scott Schwartz"
"Adam Scott","Scott Schwartz"
"Ashley Scott","Scott Schwartz"
"Judith Scott","Scott Schwartz"
"Campbell Scott","Scott Schwartz"
"Brandon Scott","Scott Schwartz"
"Andrew Scott","Scott Schwartz"
"Stefanie Scott","Scott Schwartz"
"Naomi Scott","Scott Schwartz"
"Shaun Scott","Scott Schwartz"
"Sean Daniel","Daniel Hugh Kelly"
"Brittany Daniel","Daniel Hugh Kelly"
"Sinclair Daniel","Daniel Hugh Kelly"
"Nicholle Tom","Tom Atkins"
Tom,"Tom Atkins"
"Nigel Terry","Terry Jones"
"Paul Terry","Terry Jones"
"In-mun Kim","Kim Basinger"
"Roe-ha Kim","Kim Basinger"
"Jong-ho Kim","Kim Basinger"
"Yeong-cheol Kim","Kim Basinger"
"Moritz Klaus","Klaus Maria Brandauer"
"Su-an Kim","Kim Basinger"
"Mu-Yeol Kim","Kim Basinger"
"Alan Kim","Kim Basinger"
"Robert Patrick","Patrick Swayze"
"Alex Scott","Scott Glenn"
"Dougray Scott","Scott Glenn"
"Adam Scott","Scott Glenn"
"Ashley Scott","Scott Glenn"
"Judith Scott","Scott Glenn"
"Campbell Scott","Scott Glenn"
"Brandon Scott","Scott Glenn"
"Andrew Scott","Scott Glenn"
"Stefanie Scott","Scott Glenn"
"Naomi Scott","Scott Glenn"
"Shaun Scott","Scott Glenn"
"Nicholle Tom","Tom Cruise"
Tom,"Tom Cruise"
"Cedric Joe","Joe Pantoliano"
"James Karen","Karen Fields"
"Clifton James","James Woods"
"Brion James","James Woods"
"Colton James","James Woods"
"Lennie James","James Woods"
"Jesse James","James Woods"
"Kevin James","James Woods"
"Andrea James","James Woods"
"David James","James Woods"
"Lily James","James Woods"
"Theo James","James Woods"
"Stephan James","James Woods"
"Geraldine James","James Woods"
"LeBron James","James Woods"
"Robert Patrick","Patrick Horgan"
"Shannon Elizabeth","Elizabeth Berridge"
"Cyril Roy","Roy Dotrice"
"Ronit Roy","Roy Dotrice"
"Susan George","George Grizzard"
"Nicholle Tom","Tom Hanks"
"Nicole George","George Grizzard"
"Melissa George","George Grizzard"
Tom,"Tom Hanks"
"Ananda George","George Grizzard"
"Daniel Craig","Craig Wasson"
"Clark Gregg","Gregg Henry"
"Topher Grace","Grace Jones"
"Maggie Grace","Grace Jones"
"Leslie Grace","Grace Jones"
"Mckenna Grace","Grace Jones"
"Madelyn Grace","Grace Jones"
"Strother Martin","Martin Kove"
"Steve Martin","Martin Kove"
"Kellie Martin","Martin Kove"
"Stacy Martin","Martin Kove"
"Stuart Martin","Martin Kove"
"Peter Kay","Kay E. Kuter"
"Shannon Elizabeth","Elizabeth McGovern"
"Debbie Harry","Harry Dean Stanton"
"Charlbi Dean","Dean Stockwell"
"In-mun Kim","Kim Cattrall"
"Roe-ha Kim","Kim Cattrall"
"Jong-ho Kim","Kim Cattrall"
"Yeong-cheol Kim","Kim Cattrall"
"Su-an Kim","Kim Cattrall"
"Mu-Yeol Kim","Kim Cattrall"
"Alan Kim","Kim Cattrall"
Charlie,"Charlie Sheen"
"Bob Tracey","Tracey Walter"
"Lysette Anthony","Anthony Edwards"
"Lysette Anthony","Anthony Michael Hall"
"Alexandra Paul","Paul Winfield"
"Aaron Paul","Paul Winfield"
"Amala Paul","Paul Winfield"
"Eleanor David","David Ogden Stiers"
"Keith David","David Ogden Stiers"
"In-mun Kim","Kim Darby"
"Roe-ha Kim","Kim Darby"
"Jong-ho Kim","Kim Darby"
"Yeong-cheol Kim","Kim Darby"
"Larry David","David Ogden Stiers"
"Su-an Kim","Kim Darby"
"Mu-Yeol Kim","Kim Darby"
"Alan Kim","Kim Darby"
"Lee Grant","Grant Bardsley"
"Hugh Grant","Grant Bardsley"
"Beth Grant","Grant Bardsley"
"In-mun Kim","Kim Greist"
"Roe-ha Kim","Kim Greist"
"Jong-ho Kim","Kim Greist"
"Yeong-cheol Kim","Kim Greist"
"Su-an Kim","Kim Greist"
"Mu-Yeol Kim","Kim Greist"
"Alan Kim","Kim Greist"
"Ashley Judd","Judd Nelson"
"John Vernon","Vernon Wells"
"Odessa Rae","Rae Dawn Chong"
"Issa Rae","Rae Dawn Chong"
"Conrad Vernon","Vernon Wells"
"Allen Joseph","Joseph Pilato"
"Nigel Terry","Terry Alexander"
"Paul Terry","Terry Alexander"
"Cedric Joe","Joe Don Baker"
"Lysette Anthony","Anthony Barrile"
"Siu-Tin Yuen","Yuen Chor"
"Wah Yuen","Yuen Chor"
"Qiu Yuen","Yuen Chor"
"Eleanor David","David Bennent"
"Keith David","David Bennent"
"Larry David","David Bennent"
"In-mun Kim","Kim Myers"
"Roe-ha Kim","Kim Myers"
"Jong-ho Kim","Kim Myers"
"Yeong-cheol Kim","Kim Myers"
"Su-an Kim","Kim Myers"
"Mu-Yeol Kim","Kim Myers"
"Alan Kim","Kim Myers"
"Alexandra Paul","Paul Reubens"
"Shannon Elizabeth","Elizabeth Daily"
"Aaron Paul","Paul Reubens"
"Amala Paul","Paul Reubens"
"Eleanor David","David Graf"
"Keith David","David Graf"
"Larry David","David Graf"
"Amy Irving","Irving Metzman"
"Josh Charles","Charles Napier"
"Max Charles","Charles Napier"
"Eleanor David","David Gale"
"Keith David","David Gale"
"Larry David","David Gale"
"Sean Daniel","Daniel Ades"
"Brittany Daniel","Daniel Ades"
"Sinclair Daniel","Daniel Ades"
"Alexandra Paul","Paul L. Smith"
"Aaron Paul","Paul L. Smith"
"Amala Paul","Paul L. Smith"
"Clifton James","James Karen"
"Brion James","James Karen"
"Colton James","James Karen"
"Lennie James","James Karen"
"Jesse James","James Karen"
"Kevin James","James Karen"
"Andrea James","James Karen"
"David James","James Karen"
"Lily James","James Karen"
"Theo James","James Karen"
"Stephan James","James Karen"
"Geraldine James","James Karen"
"LeBron James","James Karen"
"Clifton James","James Hampton"
"Brion James","James Hampton"
"Colton James","James Hampton"
"Lennie James","James Hampton"
"Jesse James","James Hampton"
"Kevin James","James Hampton"
"Andrea James","James Hampton"
"David James","James Hampton"
"Lily James","James Hampton"
"Theo James","James Hampton"
"Stephan James","James Hampton"
"Geraldine James","James Hampton"
"LeBron James","James Hampton"
"Thomas Jane","Jane Leeves"
"Jim Kelly","Kelly LeBrock"
"David Kelly","Kelly LeBrock"
"Minka Kelly","Kelly LeBrock"
"Michael Kelly","Kelly LeBrock"
"Tori Kelly","Kelly LeBrock"
"Jim Kelly","Kelly McGillis"
"David Kelly","Kelly McGillis"
"Florian Lukas","Lukas Haas"
"Minka Kelly","Kelly McGillis"
"Michael Kelly","Kelly McGillis"
"Tori Kelly","Kelly McGillis"
"Eleanor David","David Gulpilil"
"Keith David","David Gulpilil"
"Alexandra Paul","Paul Hogan"
"Aaron Paul","Paul Hogan"
"Larry David","David Gulpilil"
"Amala Paul","Paul Hogan"
"Alexandra Paul","Paul Reiser"
"Aaron Paul","Paul Reiser"
"Amala Paul","Paul Reiser"
"Clifton James","James Hong"
"Brion James","James Hong"
"Colton James","James Hong"
"Lennie James","James Hong"
"Jesse James","James Hong"
"Kevin James","James Hong"
"Andrea James","James Hong"
"David James","James Hong"
"Lily James","James Hong"
"Theo James","James Hong"
"Stephan James","James Hong"
"Geraldine James","James Hong"
"LeBron James","James Hong"
"Alex Scott","Scott Grimes"
"Dougray Scott","Scott Grimes"
"Adam Scott","Scott Grimes"
"Ashley Scott","Scott Grimes"
"Judith Scott","Scott Grimes"
"Campbell Scott","Scott Grimes"
"Brandon Scott","Scott Grimes"
"Andrew Scott","Scott Grimes"
"Stefanie Scott","Scott Grimes"
"Naomi Scott","Scott Grimes"
"Shaun Scott","Scott Grimes"
"Nicholle Tom","Tom Waits"
Tom,"Tom Waits"
"Robert Joy","Joy Boushel"
"Eleanor David","David Kagen"
"Keith David","David Kagen"
"Larry David","David Kagen"
"Josh Charles","Charles Dance"
"Max Charles","Charles Dance"
"Ayleen Charlotte","Charlotte Lewis"
"Frank Vincent","Vincent Price"
"Alex Vincent","Vincent Price"
"Barbara Barrie","Barrie Ingham"
"Cerina Vincent","Vincent Price"
"Chris Barrie","Barrie Ingham"
"Rupert Everett","Everett McGill"
"Eleanor David","David Bowie"
"Keith David","David Bowie"
"Rachel Shelley","Shelley Thompson"
"Larry David","David Bowie"
"Zachary Levi","Levi Stubbs"
"Terence Alexander","Alexander Godunov"
"Jane Alexander","Alexander Godunov"
"Terry Alexander","Alexander Godunov"
"Jason Alexander","Alexander Godunov"
"Rachel Shelley","Shelley Long"
